Geography,Total - Private households,Median 2005 household income $,Median 2005 after-tax household income $,Average 2005 household income $,Standard error of average household income $,Average 2005 after-tax household income $,Standard error of average after-tax household income $
Drift Pile River 150 (4817828) IRI 01010,235,24939,24939,29757,0,28917,0
Sucker Creek 150A (4817829) IRI 01020,180,31680,30955,37653,0,36162,0
Swan River 150E (4817831) IRI 02020,90,29952,29952,36143,0,35089,0
Sawridge 150G (4817832) IRI 00001,0,0,0,0,0,0,0
Fox Lake 162 (4817835) IRI 02020,290,32896,32736,37603,0,36750,0
John d'Or Prairie 215 (4817837) IRI 00000,190,41088,40448,45334,0,44134,0
Tall Cree 173A (4817840) IRI 01020,0,0,0,0,0,0,0
Child Lake 164A (4817843) IRI 01020,0,0,0,0,0,0,0
Hay Lake 209 (4817845) IRI 01020,255,26848,26603,34790,0,34032,0
Bushe River 207 (4817848) IRI 01020,105,29952,29632,35839,0,34743,0
Upper Hay River 212 (4817849) IRI 01010,95,17600,17600,26435,0,25907,0
Woodland Cree 226 (4817856) IRI 01020,115,33920,33920,42063,0,40721,0
Woodland Cree 228 (4817857) IRI 00020,0,0,0,0,0,0,0
Loon Lake 235 (4817860) IRI 02021,105,47232,45952,53770,0,52779,0
Division No. 18 (4818)   01010,5165,64509,55291,79023,2255,65513,1531
Fox Creek (4818002) T 01010,855,78398,64506,93714,6010,75439,4176
Grande Cache (4818005) T 01010,1380,73150,61941,77031,3094,63906,2351
Greenview No. 16 (4818015) MD 01010,1930,64270,56176,82973,5387,68749,3533
Valleyview (4818018) T 01010,715,54176,48788,69210,4117,57827,3032
Sturgeon Lake 154 (4818816) IRI 01010,275,33050,32736,41398,0,40186,0
Division No. 19 (4819)   01010,36085,71108,61096,85892,1413,71112,946
Grande Prairie County No. 1 (4819006) CM 01010,6235,80867,69637,113543,6911,90792,4503
Hythe (4819008) VL 01210,285,38608,36790,57725,5319,50414,4228
Beaverlodge (4819009) T 00000,910,63369,54393,80659,6804,66918,4991
Wembley (4819011) T 00010,490,73514,62638,77531,4066,65067,3140
Grande Prairie (4819012) CY 00000,17325,77071,65164,87533,1194,72489,862
Sexsmith (4819014) T 00000,655,69696,61096,76773,3354,64664,2582
Peace River (4819038) T 01000,2400,68952,59939,78821,2653,66614,2042
McLennan (4819042) T 01010,300,59293,50666,65025,4783,56029,3662
Donnelly (4819044) VL 00001,130,61383,57546,60454,6934,53296,5754
Falher (4819046) T 01000,435,51953,44831,54114,3712,47431,3095
Girouxville (4819048) VL 01020,125,31324,31072,60322,10397,51197,7741
Birch Hills County (4819049) MD 01020,530,45444,39316,56190,3479,48791,2872
Spirit River No. 133 (4819054) MD 01010,235,72148,64490,80185,6642,67370,4973
Rycroft (4819056) VL 01000,280,45654,37457,54352,4760,47103,3715
Spirit River (4819058) T 01010,445,57145,49348,68339,4791,57980,3553
Saddle Hills County (4819059) MD 01010,915,49959,46320,73069,13723,60404,8543
Fairview No. 136 (4819066) MD 01011,515,50741,46274,59750,3646,52482,2969
Fairview (4819068) T 01011,1300,56954,53692,67670,2544,58348,2058
Peace No. 135 (4819071) MD 01010,515,69667,61182,88254,8552,71797,5676
Berwyn (4819072) VL 00000,215,54950,45513,52933,3949,46157,3285
Grimshaw (4819074) T 01010,990,55116,50062,63597,3453,54101,2585
Horse Lakes 152B (4819815) IRI 02020,70,37376,37376,49057,0,47447,0
British Columbia / Colombie-Britannique (59)   21010,1643150,52709,46472,67675,162,56646,110
East Kootenay (5901)   01010,23420,52666,46180,64116,1150,54059,790
Elkford (5901003) DM 01010,1005,74707,62642,78775,2673,64020,1982
Sparwood (5901006) DM 01010,1555,65139,55637,65289,2325,54470,1788
Fernie (5901012) CY 01010,1875,48082,42909,62609,2276,53088,1761
East Kootenay A (5901017) RDA 02020,780,60217,52819,70307,4223,58919,3102
East Kootenay B (5901019) RDA 01020,745,48766,44496,55148,3529,47644,2934
Cranbrook (5901022) CY 01011,7640,46862,41102,59338,1207,50517,896
Kimberley (5901028) CY 01010,2830,43252,37953,52634,2049,45943,1895
East Kootenay C (5901035) RDA 01011,2310,62452,53407,70999,2318,59910,1773
East Kootenay E (5901037) RDA 01010,785,57720,48082,59284,2789,50153,2095
Invermere (5901039) DM 01010,1195,55209,49436,65559,2836,55361,2155
Radium Hot Springs (5901040) VL 02020,285,63574,56413,73695,6516,61902,5042
Canal Flats (5901043) VL 01011,290,53967,51135,62317,3760,53617,2773
East Kootenay F (5901046) RDA 02021,1260,53069,46761,100062,17836,78545,11374
East Kootenay G (5901048) RDA 01020,665,59487,51191,63807,3168,53728,2458
Tobacco Plains 2 (5901801) IRI 00000,0,0,0,0,0,0,0
Kootenay 1 (5901803) IRI 01020,0,0,0,0,0,0,0
Columbia Lake 3 (5901804) IRI 00010,0,0,0,0,0,0,0
Shuswap (5901806) IRI 02020,0,0,0,0,0,0,0
Central Kootenay (5903)   01010,24680,41624,37766,51574,557,44606,434
Creston (5903004) T 01010,2360,37064,33279,44469,1501,39308,1212
Central Kootenay A (5903010) RDA 01020,985,35069,33559,42709,2346,37737,1885
Salmo (5903011) VL 00010,455,31198,28510,38779,2407,34940,2047
Central Kootenay B (5903013) RDA 01011,1810,38598,36102,48781,2148,42800,1632
Nelson (5903015) CY 01011,4160,43214,38769,51717,1237,44778,966
Central Kootenay C (5903017) RDA 01011,535,47371,42403,54465,3664,48100,3138
Slocan (5903019) VL 02020,145,43946,39122,53531,6840,45108,4956
Kaslo (5903023) VL 01010,480,38786,35227,42503,2600,37489,2133
Silverton (5903027) VL 02010,0,0,0,0,0,0,0
New Denver (5903032) VL 02020,240,24188,24060,36717,3929,32809,3193
Central Kootenay D (5903039) RDA 02020,710,37036,33198,46423,3557,39026,2908
Central Kootenay E (5903041) RDA 01011,1620,44143,39171,51094,1953,44640,1615
Central Kootenay F (5903043) RDA 00010,1580,50077,44114,64097,2695,54097,2042
Castlegar (5903045) CY 00001,3065,49626,44098,62941,2032,53076,1480
Central Kootenay G (5903047) RDA 01010,740,35561,32179,42465,2500,37313,2034
Nakusp (5903050) VL 01010,680,42279,37415,51773,3225,45340,2663
Central Kootenay H (5903052) RDA 01011,1955,31453,29399,41871,1840,36848,1498
Central Kootenay I (5903056) RDA 00000,1010,50938,43958,56600,2443,48404,1889
Central Kootenay J (5903058) RDA 01011,1175,63108,54928,64814,2395,55518,1897
Central Kootenay K (5903060) RDA 01020,820,35424,32745,46752,2453,40503,1978
Creston 1 (5903807) IRI 01020,0,0,0,0,0,0,0
Kootenay Boundary (5905)   01010,13630,46010,40907,55060,726,47347,573
Fruitvale (5905005) VL 00000,790,50277,44118,56832,2637,48778,2072
Montrose (5905009) VL 00000,405,59941,49941,69961,5180,59654,3810
Trail (5905014) CY 00010,3520,43087,38512,51155,1266,44227,1007
Warfield (5905018) VL 00000,750,50087,43692,60058,3180,50702,2470
Rossland (5905023) CY 01010,1355,60088,51699,71992,2863,59880,2255
Kootenay Boundary A (5905026) RDA 00000,780,61286,53225,69788,4109,58963,3083
Kootenay Boundary B (5905030) RDA 00010,625,53297,46784,62873,3207,53738,2557
Grand Forks (5905032) CY 01010,1790,37499,34262,46530,1513,41042,1250
Midway (5905037) VL 01000,275,38169,32732,53011,5120,46106,4063
Greenwood (5905042) CY 01020,320,32436,31777,38722,2869,34371,2355
Kootenay Boundary C (5905050) RDA 02020,670,42498,37518,54450,3267,46428,2558
Kootenay Boundary D (5905052) RDA 01020,1345,45189,41008,51185,1912,44895,1604
Kootenay Boundary E (5905054) RDA 02020,1000,34500,32160,45011,2743,39367,2222
Okanagan-Similkameen (5907)   01010,35240,43035,38877,54083,729,46569,526
Osoyoos (5907005) T 01020,2225,43764,37885,49882,1706,43386,1362
Keremeos (5907009) VL 01010,620,34171,30667,38861,2100,35199,1725
Oliver (5907014) T 01020,1945,37797,34836,50478,1790,44280,1418
Okanagan-Similkameen A (5907022) RDA 01020,770,45781,39157,55326,3545,48249,2948
Princeton (5907024) T 01010,1290,34826,32096,46325,2115,40083,1668
Okanagan-Similkameen B (5907026) RDA 01010,460,39468,35344,48614,4719,42088,3748
Okanagan-Similkameen C (5907028) RDA 01010,1555,42733,39584,52985,2330,45905,1872
Summerland (5907035) DM 00011,4545,48454,43520,59853,3082,51081,2082
Penticton (5907041) CY 01010,14600,41383,37029,52702,1224,45365,842
Okanagan-Similkameen D (5907047) RDA 01020,2505,52030,44389,60272,1698,51638,1314
Okanagan-Similkameen E (5907049) RDA 01020,835,58268,51807,70267,4228,57838,2825
Okanagan-Similkameen F (5907051) RDA 00001,740,63903,57515,86853,7697,71014,5381
Okanagan-Similkameen G (5907053) RDA 02020,1050,33122,31624,43783,2413,38578,1931
Okanagan-Similkameen H (5907055) RDA 02020,1015,49967,41933,55261,2499,47049,1951
Lower Similkameen 2 (5907801) IRI 02010,0,0,0,0,0,0,0
Osoyoos 1 (5907802) IRI 03020,260,35968,34176,43776,0,40075,0
Penticton 1 (5907803) IRI 02020,730,34619,31994,42977,1635,38884,1392
Chopaka 7 & 8 (5907805) IRI 00000,0,0,0,0,0,0,0
Chuchuwayha 2 (5907807) IRI 00000,0,0,0,0,0,0,0
Fraser Valley (5909)   01010,94625,51484,45948,62838,387,54074,283
Hope (5909009) DM 01010,2655,41493,37974,52758,1876,45887,1449
Fraser Valley A (5909014) RDA 02020,235,35820,31342,40807,3773,36017,3185
Fraser Valley B (5909016) RDA 02020,370,30922,30017,41027,3985,36171,3172
Chilliwack (5909020) CY 01011,26865,50890,45034,61392,788,52554,559
Harrison Hot Springs (5909027) VL 01010,705,40313,35507,48503,2669,42746,2190
Kent (5909032) DM 01010,1940,45560,40460,53502,1632,46873,1342
Fraser Valley D (5909034) RDA 01010,470,62722,54587,70519,4978,59408,3786
Fraser Valley E (5909036) RDA 02010,1435,45917,41607,57072,2422,49094,1852
Fraser Valley C (5909048) RDA 02020,460,45940,39404,48789,3896,39750,2719
Abbotsford (5909052) CY 01011,43565,53908,47974,66247,648,57037,468
Mission (5909056) DM 01000,12185,56717,50163,65306,971,55922,760
Fraser Valley F (5909060) RDA 01010,525,44867,40291,56182,3527,48501,2897
Fraser Valley G (5909062) RDA 01010,745,48801,42209,58507,2927,51237,2428
Fraser Valley H (5909064) RDA 00001,120,82260,72887,85421,8761,73976,7744
Chawathil 4 (5909804) IRI 00010,0,0,0,0,0,0,0
Ohamil 1 (5909807) IRI 01000,0,0,0,0,0,0,0
Schkam 2 (5909812) IRI 01020,0,0,0,0,0,0,0
Kahmoose 4 (5909819) IRI 01010,0,0,0,0,0,0,0
Kwawkwawapilt 6 (5909821) IRI 01010,200,35806,33495,41684,2876,37809,2339
Skowkale 10 (5909822) IRI 02020,145,40067,36739,50141,3110,45679,2660
Skowkale 11 (5909823) IRI 02020,0,0,0,0,0,0,0
Skwah 4 (5909824) IRI 00001,0,0,0,0,0,0,0
Skway 5 (5909826) IRI 00010,0,0,0,0,0,0,0
Soowahlie 14 (5909827) IRI 00010,0,0,0,0,0,0,0
Squiaala 7 (5909828) IRI 00010,0,0,0,0,0,0,0
Tzeachten 13 (5909830) IRI 01021,555,39731,37017,43979,362,39606,316
Seabird Island (5909832) IRI 01000,160,32576,32427,37388,0,36263,0
Cheam 1 (5909837) IRI 01010,0,0,0,0,0,0,0
Chehalis 5 (5909839) IRI 01010,150,35456,34944,42850,0,41403,0
Peters 1 (5909843) IRI 00000,0,0,0,0,0,0,0
Skookumchuck 4 (5909845) IRI 02020,0,0,0,0,0,0,0
Baptiste Smith 1B (5909875) IRI 01000,0,0,0,0,0,0,0
Matsqui Main 2 (5909878) IRI 00010,0,0,0,0,0,0,0
Holachten 8 (5909879) IRI 01020,110,31488,28736,35629,0,32474,0
Lakahahmen 11 (5909880) IRI 02020,0,0,0,0,0,0,0
Squawkum Creek 3 (5909882) IRI 01010,0,0,0,0,0,0,0
Greater Vancouver (5915)   01010,817230,55231,48527,73258,285,60629,193
Langley (5915001) DM 01010,33340,69805,59604,83419,996,68801,696
Langley (5915002) CY 01010,10570,46456,41475,56145,909,48379,704
Surrey (5915004) CY 01011,131135,60168,52926,73552,419,62247,301
White Rock (5915007) CY 01011,9515,50376,43512,66127,1582,54328,1188
Delta (5915011) DM 01010,33550,72594,62310,84186,781,69813,566
Richmond (5915015) CY 00000,61430,53489,47470,67440,645,57302,464
Greater Vancouver A (5915020) RDA 02020,4500,37047,33559,74212,5409,56713,3388
Vancouver (5915022) CY 01010,253380,47299,41875,68271,662,56040,451
Burnaby (5915025) CY 01010,78035,50205,44717,63453,548,54172,393
New Westminster (5915029) CY 01010,27045,48773,42330,60408,717,51225,529
Coquitlam (5915034) CY 00000,41240,59294,51793,72966,641,61185,493
Belcarra (5915036) VL 00000,255,110557,94246,189351,65630,135555,37475
Anmore (5915038) VL 00010,535,106886,88770,136175,9306,105692,6176
Port Coquitlam (5915039) CY 01010,18700,65731,57075,77944,2008,64866,1263
Port Moody (5915043) CY 01010,10130,74527,62848,85810,1549,70609,1064
North Vancouver (5915046) DM 00000,29750,77032,65428,101318,1302,81001,907
North Vancouver (5915051) CY 01011,21350,49486,43330,62115,918,52034,656
West Vancouver (5915055) DM 01010,16840,76893,64044,155071,6274,111025,3925
Bowen Island (5915062) IM 01110,1345,72990,60918,84934,5379,67866,3976
Lions Bay (5915065) VL 01000,520,91603,73670,110278,7350,88043,5559
Pitt Meadows (5915070) DM 01010,5820,64748,55545,74432,1638,62647,1179
Maple Ridge (5915075) DM 01010,24935,64017,55294,73110,861,61346,600
Semiahmoo (5915801) IRI 02021,0,0,0,0,0,0,0
Tsawwassen (5915802) IRI 02020,275,79713,68002,124309,16246,110619,15989
Musqueam 2 (5915803) IRI 02020,455,57606,52497,89553,2338,70881,1563
Mission 1 (5915807) IRI 00021,155,33536,33408,37865,0,36500,0
Capilano 5 (5915808) IRI 01010,1245,28637,27047,38468,1378,33695,1107
Barnston Island 3 (5915809) IRI 01010,0,0,0,0,0,0,0
Seymour Creek 2 (5915811) IRI 01010,0,0,0,0,0,0,0
McMillan Island 6 (5915816) IRI 00010,0,0,0,0,0,0,0
Matsqui 4 (5915825) IRI 01020,245,25095,25095,35682,4608,32637,3935
Katzie 1 (5915830) IRI 02010,0,0,0,0,0,0,0
Capital (5917)   21010,152535,52942,46338,67484,642,56191,424
North Saanich (5917005) DM 01010,4275,81632,68864,102703,5004,81348,2984
Sidney (5917010) T 01010,5195,49270,43657,58575,1222,50018,922
Central Saanich (5917015) DM 00000,6240,68422,57571,79345,1488,66307,1131
Saanich (5917021) DM 01010,44570,59729,51904,73304,718,61436,517
Capital F (5917027) RDA 01010,4325,45693,40710,61864,2227,47150,4021
Capital G (5917029) RDA 02020,2635,41587,37979,57725,2778,47430,1943
Oak Bay (5917030) DM 01010,7895,72045,60692,109584,10376,84484,6356
Victoria (5917034) CY 01010,41705,38885,34683,50523,671,42893,456
Esquimalt (5917040) DM 01010,7995,47653,41336,54757,921,46936,703
Colwood (5917041) CY 01010,5500,68798,59167,74162,1233,62729,959
Metchosin (5917042) DM 01020,1735,75193,64983,93743,9027,76700,6374
Langford (5917044) CY 01010,8680,64199,55073,70508,966,59904,760
View Royal (5917047) T 01020,3340,67136,58016,78511,2080,65383,1524
Highlands (5917049) DM 00000,700,75045,65692,85443,4318,69903,3084
Sooke (5917052) DM 01010,3860,54676,48110,62449,1683,52846,1263
Capital H (Part 1) (5917054) RDA 01020,1740,61315,51428,70133,2847,58096,2003
East Saanich 2 (5917803) IRI 02020,730,38263,35227,44830,572,39973,464
Becher Bay 1 (5917809) IRI 00010,0,0,0,0,0,0,0
Gordon River 2 (5917815) IRI 02010,0,0,0,0,0,0,0
T'Sou-ke 1 (Sooke 1) (5917817) IRI 01010,0,0,0,0,0,0,0
T'Sou-ke 2 (Sooke 2) (5917818) IRI 00000,0,0,0,0,0,0,0
Cowichan Valley (5919)   01010,31260,51058,45232,61475,592,52306,441
North Cowichan (5919008) DM 00001,11290,51850,45993,62340,1033,52949,749
Duncan (5919012) CY 02010,2445,33390,30370,39718,1211,35323,976
Cowichan Valley D (5919013) RDA 01010,1160,52287,45173,63126,3586,53144,2609
Cowichan Valley G (5919015) RDA 01011,955,51823,45594,63215,3636,53302,2709
Lake Cowichan (5919016) T 01010,1260,45347,40899,50433,1869,44332,1532
Cowichan Valley H (5919017) RDA 01001,970,57025,50482,66620,2850,56176,2211
Ladysmith (5919021) T 00001,3185,50053,43958,58875,1404,50650,1125
Cowichan Valley F (5919033) RDA 01010,740,51175,46896,53743,2394,46358,1916
Cowichan Valley I (5919035) RDA 01010,540,42665,39602,53151,3116,45991,2473
Cowichan Valley A (5919043) RDA 00000,1655,61099,51561,72633,2702,60519,2016
Cowichan Valley B (5919046) RDA 00000,2780,61353,52625,69894,2281,58773,1643
Cowichan Valley C (5919049) RDA 00001,1945,65302,55085,76819,2988,63622,2199
Cowichan Valley E (5919051) RDA 01011,1495,61136,52931,72354,5258,60229,3953
Halalt 2 (5919801) IRI 01010,0,0,0,0,0,0,0
Tsussie 6 (5919803) IRI 02020,0,0,0,0,0,0,0
Chemainus 13 (5919804) IRI 03020,175,22966,22966,33203,856,32364,830
Cowichan 1 (5919807) IRI 02021,385,32768,32427,38424,455,37727,443
Malachan 11 (5919814) IRI 02020,0,0,0,0,0,0,0
Malahat 11 (5919815) IRI 01010,0,0,0,0,0,0,0
Theik 2 (5919818) IRI 02010,0,0,0,0,0,0,0
Nanaimo (5921)   01010,59870,47242,42248,57841,483,49383,338
Nanaimo (5921007) CY 01010,33525,45937,41329,56744,573,48737,417
Lantzville (5921008) DM 00001,1420,70407,61720,74154,2578,61617,2168
Nanaimo A (5921010) RDA 01000,2755,51348,45283,58869,1620,50818,1287
Nanaimo B (5921014) RDA 02010,1995,36703,33676,50176,2218,42147,1630
Nanaimo C (5921016) RDA 01011,875,61607,52106,74680,3470,63166,2683
Parksville (5921018) CY 01010,5205,42053,37668,49630,1028,43248,794
Qualicum Beach (5921023) T 01011,4005,49111,43985,58656,1796,50145,1228
Nanaimo E (5921030) RDA 00000,2435,59773,51073,84085,6498,66303,3966
Nanaimo F (5921032) RDA 00000,2850,43235,38591,51816,1723,44395,1318
Nanaimo G (5921034) RDA 00011,2990,55661,48767,64862,2076,54986,1531
Nanaimo H (5921036) RDA 01010,1575,43284,39810,50202,1853,43669,1479
Nanaimo River 4 (5921803) IRI 01020,0,0,0,0,0,0,0
Nanoose (5921805) IRI 02020,0,0,0,0,0,0,0
Alberni-Clayoquot (5923)   01010,12870,45571,41069,54458,676,47130,528
Port Alberni (5923008) CY 01011,7660,43624,38982,51434,854,44682,674
Ucluelet (5923019) DM 01000,645,48442,43541,55684,4082,47645,3105
Tofino (5923025) DM 01010,695,43842,38611,58958,4371,49957,3207
Alberni-Clayoquot B (5923033) RDA 01010,190,43710,40100,55926,5637,48347,4542
Alberni-Clayoquot D (5923035) RDA 02020,845,53925,47297,63406,3564,54007,2751
Alberni-Clayoquot E (5923037) RDA 01010,1135,59090,51641,66255,3224,56139,2441
Alberni-Clayoquot F (5923039) RDA 01001,800,59587,53037,63832,2818,54917,2279
Alberni-Clayoquot A (5923047) RDA 02020,155,52708,46864,47156,4702,41472,4274
Alberni-Clayoquot C (5923049) RDA 02020,170,52159,44199,56780,5019,47829,3981
Ahahswinis 1 (5923801) IRI 00010,0,0,0,0,0,0,0
Ittatsoo 1 (5923807) IRI 02020,0,0,0,0,0,0,0
Opitsat 1 (5923813) IRI 01010,0,0,0,0,0,0,0
Tsahaheh 1 (5923816) IRI 02020,135,30160,29794,35770,1110,34435,1036
Esowista 3 (5923823) IRI 01010,0,0,0,0,0,0,0
Refuge Cove 6 (5923824) IRI 01010,0,0,0,0,0,0,0
Comox-Strathcona (5925)   01010,42975,48525,42998,58926,574,50050,401
Comox (5925005) T 01011,5205,56295,49142,65879,1879,55762,1392
Courtenay (5925010) CY 01021,9750,42434,37943,51945,865,44736,674
Cumberland (5925014) VL 01011,1135,43464,39820,48972,1872,42969,1519
Comox-Strathcona A (5925018) RDA 01011,2140,48626,43469,73778,7731,58549,4622
Comox-Strathcona K (5925019) RDA 02020,1075,35921,32144,43507,2314,37706,1831
Comox-Strathcona B (5925022) RDA 01011,2950,57190,49777,66872,1869,56454,1470
Comox-Strathcona C (5925024) RDA 00011,2935,56248,49843,64930,2049,54993,1497
Gold River (5925025) VL 01010,580,55174,45820,60198,4087,49035,2827
Zeballos (5925029) VL 02020,0,0,0,0,0,0,0
Tahsis (5925030) VL 02020,195,31933,30875,35971,3697,31368,3028
Campbell River (5925034) CY 01011,12225,51011,45285,60228,801,51400,613
Sayward (5925039) VL 02010,150,30953,30953,41266,4779,36519,3835
Comox-Strathcona D (5925042) RDA 01020,1975,61162,53828,68839,2141,57896,1580
Comox-Strathcona H (5925046) RDA 02020,345,33435,30154,38864,3444,33290,2611
Comox-Strathcona G (5925049) RDA 00001,0,0,0,0,0,0,0
Comox-Strathcona I (5925052) RDA 02020,495,23459,20944,29789,2271,25679,1869
Comox-Strathcona J (5925054) RDA 02020,1110,38396,35360,50388,2102,42054,1607
Comox 1 (5925801) IRI 01020,110,30536,30536,38360,1627,36436,1512
Campbell River 11 (5925804) IRI 02020,125,38528,36864,44932,0,42575,0
Quinsam 12 (5925812) IRI 01010,0,0,0,0,0,0,0
Cape Mudge 10 (5925817) IRI 01020,0,0,0,0,0,0,0
Tork 7 (5925820) IRI 02020,0,0,0,0,0,0,0
Ehatis 11 (5925836) IRI 02021,0,0,0,0,0,0,0
Homalco 9 (5925840) IRI 02021,0,0,0,0,0,0,0
Powell River (5927)   01010,8770,43599,39150,53381,868,45622,664
Powell River (5927008) CY 01000,5685,46777,41136,55692,1116,47612,864
Powell River A (5927010) RDA 02020,460,28949,28054,44578,4443,37908,3360
Powell River B (5927012) RDA 01020,645,50661,43907,59358,3375,49826,2516
Powell River C (5927016) RDA 02020,930,49529,43425,57660,3258,48493,2304
Powell River D (5927018) RDA 02020,555,38205,34034,45513,2613,39456,2093
Powell River E (5927020) RDA 02010,205,16395,16395,18012,2060,17444,1916
Sunshine Coast (5929)   01020,12185,47947,42660,58884,1094,49883,765
